index,depth_bin,sum_root_length,rld,x_location,y_location
51,"(0.4, 0.5]",100.00950061,0.025002375152500003,0.1,0.9
52,"(0.5, 0.6]",173.67934403,0.043419836007500004,0.1,0.9
53,"(0.6, 0.7]",350.02982008000004,0.08750745502000001,0.1,0.9
54,"(0.7, 0.8]",78.16786568,0.01954196642,0.1,0.9
55,"(0.8, 0.9]",190.17434100999998,0.04754358525249999,0.1,0.9
56,"(0.9, 1.0]",155.48452279,0.0388711306975,0.1,0.9
57,"(1.0, 1.1]",142.38630996999999,0.035596577492499996,0.1,0.9
58,"(1.1, 1.2]",215.48855237,0.0538721380925,0.1,0.9
59,"(1.2, 1.3]",53.111003620000005,0.013277750905000002,0.1,0.9
60,"(1.3, 1.4]",248.61589666,0.062153974165,0.1,0.9
61,"(1.4, 1.5]",341.82649562999995,0.08545662390749999,0.1,0.9
62,"(1.5, 1.6]",207.04983599000002,0.051762458997500004,0.1,0.9
63,"(1.6, 1.7]",140.30359105999997,0.035075897764999996,0.1,0.9
64,"(1.7, 1.8]",89.02621728,0.02225655432,0.1,0.9
65,"(1.8, 1.9]",50.36704688,0.012591761719999999,0.1,0.9
66,"(1.9, 2.0]",102.18388695,0.0255459717375,0.1,0.9
67,"(2.0, 2.1]",106.04487987,0.0265112199675,0.1,0.9
68,"(2.1, 2.2]",12.628273540000002,0.0031570683850000005,0.1,0.9
69,"(2.2, 2.3]",87.39105649,0.0218477641225,0.1,0.9
70,"(2.3, 2.4]",58.239352309999994,0.014559838077499998,0.1,0.9
71,"(2.4, 2.5]",79.44616116,0.01986154029,0.1,0.9
72,"(2.5, 2.6]",0.0,0.0,0.1,0.9
73,"(2.6, 2.7]",0.0,0.0,0.1,0.9
74,"(2.7, 2.8]",122.51756011999998,0.030629390029999995,0.1,0.9
75,"(2.8, 2.9]",0.0,0.0,0.1,0.9
76,"(2.9, 3.0]",13.58532318,0.0033963307949999998,0.1,0.9
77,"(3.0, 3.1]",92.22778844999999,0.023056947112499997,0.1,0.9
78,"(3.1, 3.2]",19.288429070000003,0.0048221072675,0.1,0.9
79,"(3.2, 3.3]",26.725385080000002,0.006681346270000001,0.1,0.9
80,"(3.3, 3.4]",85.61775192,0.02140443798,0.1,0.9
81,"(3.4, 3.5]",36.32574372,0.00908143593,0.1,0.9
82,"(3.5, 3.6]",0.0,0.0,0.1,0.9
83,"(3.6, 3.7]",37.28259628,0.00932064907,0.1,0.9
84,"(3.7, 3.8]",16.727753840000002,0.00418193846,0.1,0.9
85,"(3.8, 3.9]",9.832536780000002,0.0024581341950000004,0.1,0.9
86,"(3.9, 4.0]",17.81162239,0.0044529055975,0.1,0.9
87,"(4.0, 4.1]",0.0,0.0,0.1,0.9
88,"(4.1, 4.2]",0.0,0.0,0.1,0.9
89,"(4.2, 4.3]",0.0,0.0,0.1,0.9
90,"(4.3, 4.4]",0.0,0.0,0.1,0.9
91,"(4.4, 4.5]",0.0,0.0,0.1,0.9
92,"(4.5, 4.6]",0.0,0.0,0.1,0.9
93,"(4.6, 4.7]",0.0,0.0,0.1,0.9
